2020년 전체 선택 온실가스 배출량 통계(전기(tCO₂)),,,,,,,,,,,,,,
번호,자치구명,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,총합,"18,735,813.91","1,733,733.67","1,668,513.74","1,508,129.80","1,405,424.85","1,360,421.50","1,546,491.90","1,695,504.73","1,849,130.87","1,560,297.07","1,368,280.55","1,426,493.34","1,613,391.89"
2,강남구,"1,871,253.91","177,203.22","168,598.50","151,905.11","135,981.62","131,955.34","154,688.59","172,635.45","187,780.31","153,956.34","132,996.76","139,613.65","163,939.00"
3,강동구,"580,562.42","52,949.01","51,301.39","46,046.54","43,734.33","41,865.47","47,423.56","51,901.26","58,051.10","49,521.83","42,564.70","44,899.24","50,304.00"
4,강북구,"367,024.69","34,754.08","33,854.53","30,154.33","28,624.30","26,853.94","29,318.59","32,116.56","34,962.89","30,633.15","26,593.52","28,009.68","31,149.11"
5,강서구,"957,301.43","88,511.44","85,639.87","78,152.85","72,493.22","69,893.80","77,271.87","85,133.16","92,390.89","78,577.87","71,293.13","73,958.23","83,985.10"
6,관악구,"702,786.76","65,088.25","63,670.19","57,266.71","54,880.57","51,298.99","56,440.16","61,977.55","68,443.11","59,613.56","50,574.88","54,042.05","59,490.75"
7,광진구,"541,118.92","49,833.54","47,820.52","42,713.16","40,165.78","39,239.29","45,471.24","49,583.04","54,468.03","46,662.29","39,101.46","40,618.09","45,442.47"
8,구로구,"783,461.94","73,893.88","71,808.88","62,772.99","59,127.60","56,659.78","63,564.62","68,414.86","75,590.23","63,874.96","56,848.17","60,320.94","70,585.02"
9,금천구,"674,921.90","61,814.00","59,323.26","54,440.16","50,306.86","48,861.71","56,015.26","60,551.99","65,808.69","55,138.86","49,456.89","52,152.74","61,051.47"
10,노원구,"580,967.25","55,133.41","53,077.79","47,144.42","44,174.49","42,110.55","47,110.72","50,942.00","56,298.92","47,392.28","42,009.27","45,063.24","50,510.17"
11,도봉구,"369,328.04","34,829.37","33,800.94","30,302.50","28,895.32","27,002.46","29,427.16","31,826.91","35,160.25","30,447.96","26,866.45","28,785.37","31,983.35"
12,동대문구,"535,552.45","50,351.04","48,913.04","43,878.51","40,800.21","38,107.21","42,649.32","47,697.48","51,023.21","46,233.12","38,773.30","40,733.00","46,393.00"
13,동작구,"517,083.69","47,323.45","45,629.95","41,048.17","39,260.65","37,801.22","42,597.22","45,988.17","51,132.61","44,426.55","37,995.05","39,795.32","44,085.33"
14,마포구,"901,251.35","83,406.66","79,143.76","71,969.06","66,818.24","66,391.28","75,704.82","82,588.14","89,374.52","72,070.84","67,765.58","68,429.12","77,589.34"
15,서대문구,"516,920.98","47,790.30","45,558.81","41,319.88","38,353.82","37,593.94","43,007.80","46,471.75","51,988.33","43,296.65","37,492.12","39,298.06","44,749.52"
16,서초구,"1,259,833.30","116,204.46","112,523.89","101,657.46","94,635.84","91,293.21","104,491.28","116,276.51","126,833.82","101,906.51","92,210.20","95,509.85","106,290.28"
17,성동구,"808,755.36","74,056.49","71,488.11","65,374.24","62,159.35","58,693.47","65,420.38","71,414.37","77,268.15","71,644.20","59,841.42","61,981.72","69,413.47"
18,성북구,"594,913.54","55,594.62","54,077.01","48,567.60","45,682.53","42,797.26","48,543.51","52,334.94","56,670.93","48,770.54","43,642.14","46,222.14","52,010.33"
19,송파구,"1,254,623.21","112,241.05","107,912.29","98,881.53","94,021.52","94,338.78","106,630.03","116,066.20","126,754.36","102,886.24","93,737.41","95,633.70","105,520.11"
20,양천구,"642,977.43","57,912.92","56,505.47","52,688.72","50,246.05","47,583.28","50,250.19","56,207.73","61,978.83","56,261.23","49,130.76","49,650.02","54,562.24"
21,영등포구,"1,072,577.02","96,233.13","91,993.60","85,636.29","79,300.01","78,908.85","92,263.90","100,936.27","108,971.96","87,826.47","78,952.16","80,483.53","91,070.85"
22,용산구,"515,395.25","47,363.99","45,397.04","40,322.18","37,109.88","36,101.18","42,424.35","47,803.36","52,456.24","45,125.43","37,977.74","39,080.80","44,233.07"
23,은평구,"598,784.63","54,436.78","53,268.63","47,931.09","46,350.56","44,038.17","47,542.30","51,675.24","57,959.94","52,923.30","44,870.13","46,719.32","51,069.15"
24,종로구,"689,524.45","65,690.11","62,548.45","55,445.49","49,943.76","49,535.51","58,989.84","64,505.74","68,509.15","56,170.30","48,230.47","51,063.92","58,891.69"
25,중구,"945,072.22","89,315.70","83,876.25","75,612.51","67,516.53","68,643.30","83,039.75","90,545.49","95,107.92","75,831.26","66,011.16","69,399.27","80,173.07"
26,중랑구,"453,821.76","41,802.76","40,781.55","36,898.31","34,841.79","32,853.52","36,205.45","39,910.55","44,146.48","39,105.33","33,345.69","35,030.32","38,900.01"
