2022년 전체 선택 온실가스 배출량 통계(가스(tCO₂)),,,,,,,,,,,,,,
번호,자치구명,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,총합,"9,138,580.42","1,598,023.39","1,571,549.10","1,177,046.34","744,961.60","437,783.12","339,755.49","333,260.14","329,843.86","314,988.11","402,215.77","643,260.23","1,245,893.24"
2,강남구,"644,527.16","107,903.75","127,688.77","106,349.23","51,984.64","28,669.08","23,667.99","25,463.18","31,145.41","30,542.70","25,568.64","33,420.86","52,122.92"
3,강동구,"442,292.48","66,327.50","67,580.60","56,537.72","42,320.30","28,075.26","22,283.76","20,816.51","20,344.68","20,503.99","21,890.77","31,511.72","44,099.70"
4,강북구,"289,584.05","49,619.40","51,171.24","39,081.33","26,741.55","15,248.97","10,356.96","8,392.86","8,003.24","8,607.12","11,930.71","20,891.32","39,539.36"
5,강서구,"465,625.51","83,759.88","73,075.16","47,893.70","33,190.40","22,366.48","16,081.46","17,114.29","15,146.76","14,499.11","25,670.15","39,303.61","77,524.52"
6,관악구,"426,905.33","81,283.86","72,892.49","49,280.51","30,771.33","16,664.03","12,388.38","11,446.25","10,679.33","11,429.32","21,514.78","36,294.06","72,260.99"
7,광진구,"339,160.71","60,334.74","61,266.61","48,356.63","29,509.47","16,935.60","11,805.66","10,071.08","9,102.54","9,392.42","13,496.89","23,488.53","45,400.55"
8,구로구,"335,946.12","62,527.14","60,343.03","44,317.84","28,919.55","15,588.47","10,839.83","10,170.56","9,828.23","9,236.30","12,883.30","23,598.16","47,693.71"
9,금천구,"218,769.32","38,496.33","36,866.50","28,051.03","18,763.53","10,771.36","8,001.27","7,489.25","7,336.80","7,151.57","10,027.34","16,034.31","29,780.01"
10,노원구,"456,474.00","77,978.98","85,392.12","72,860.23","51,891.25","25,441.47","16,731.98","11,816.85","11,654.57","11,832.46","13,177.32","27,842.86","49,853.90"
11,도봉구,"296,969.80","47,634.15","48,707.43","37,230.84","27,038.70","16,679.00","12,389.94","10,817.31","10,600.93","11,194.56","14,128.83","21,914.65","38,633.46"
12,동대문구,"284,062.69","51,237.65","52,516.01","41,190.01","24,393.17","13,694.99","9,538.26","7,927.78","7,600.38","7,405.15","10,998.55","19,525.23","38,035.54"
13,동작구,"330,922.54","63,378.97","56,567.47","38,037.45","22,637.54","12,528.98","9,758.08","9,337.17","8,774.95","8,971.82","16,131.46","27,699.84","57,098.81"
14,마포구,"398,789.26","68,464.74","61,413.42","42,677.14","27,527.85","18,974.70","16,803.08","17,560.40","16,653.44","15,850.59","21,297.14","31,473.68","60,093.06"
15,서대문구,"284,997.94","52,107.42","48,170.33","32,319.59","19,437.42","11,540.86","9,518.71","10,313.12","9,921.70","8,792.23","13,331.65","22,600.48","46,944.44"
16,서초구,"426,882.27","69,786.69","68,527.67","53,712.31","35,441.76","21,393.16","17,657.95","18,722.13","21,035.27","20,834.53","20,749.87","29,181.54","49,839.40"
17,성동구,"268,529.79","46,281.93","47,235.21","37,674.00","23,258.98","13,608.87","10,416.99","9,534.48","9,256.22","8,400.97","11,002.80","17,933.96","33,925.39"
18,성북구,"374,332.48","66,627.21","68,190.94","54,801.08","34,396.57","19,081.14","12,953.23","10,992.25","10,205.12","10,247.84","13,496.27","25,158.32","48,182.49"
19,송파구,"506,262.95","83,526.78","88,774.81","73,769.34","49,122.67","25,478.28","20,912.70","20,153.74","23,155.95","22,464.63","21,972.49","30,614.74","46,316.82"
20,양천구,"416,506.44","84,697.39","75,684.42","46,474.68","28,768.95","15,330.30","10,406.94","14,433.11","11,779.93","9,510.80","13,927.87","25,140.18","80,351.87"
21,영등포구,"379,161.13","69,604.84","62,471.26","41,023.52","25,174.53","15,631.80","13,792.98","15,215.55","14,340.10","12,645.66","17,816.82","29,028.91","62,415.16"
22,용산구,"261,599.80","46,304.18","45,584.34","32,702.77","19,712.13","12,044.40","9,791.59","10,092.87","9,392.40","8,428.99","11,274.60","18,071.58","38,199.95"
23,은평구,"369,163.97","68,437.43","62,251.38","41,098.94","26,525.09","15,413.27","11,779.80","10,599.97","10,229.33","10,787.67","19,875.54","31,338.76","60,826.79"
24,종로구,"284,243.49","47,455.54","46,169.33","33,446.29","19,470.74","13,399.07","12,692.17","13,995.04","13,792.80","10,823.00","12,123.96","19,503.82","41,371.73"
25,중구,"304,952.45","49,177.82","46,460.57","32,167.98","18,241.64","14,708.89","15,866.93","18,895.16","19,038.95","14,592.87","12,913.14","18,157.89","44,730.58"
26,중랑구,"331,918.74","55,069.07","56,548.01","45,992.21","29,721.85","18,514.66","13,318.85","11,889.24","10,824.84","10,841.80","15,014.87","23,531.23","40,652.11"
