2022년 전체 선택 온실가스 배출량 통계(전기(tCO₂)),,,,,,,,,,,,,,
번호,자치구명,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,총합,"21,122,665.05","1,959,366.30","1,876,655.78","1,646,823.44","1,558,166.83","1,489,420.68","1,649,154.00","2,014,563.61","2,210,170.17","1,862,659.39","1,556,210.36","1,523,351.01","1,776,123.47"
2,강남구,"2,115,730.71","204,232.05","193,378.08","167,413.33","151,505.16","145,605.42","164,986.29","204,423.66","217,932.65","181,694.11","152,150.58","149,273.76","183,135.61"
3,강동구,"727,895.50","67,071.69","64,551.80","56,577.29","53,934.88","50,897.81","56,207.66","69,612.99","77,339.44","64,446.38","53,666.49","53,080.27","60,508.79"
4,강북구,"402,433.15","38,175.81","37,670.25","32,126.16","30,469.62","27,734.79","30,172.31","36,676.35","42,413.21","35,669.10","29,264.61","28,999.41","33,061.52"
5,강서구,"1,096,637.02","99,423.06","94,942.50","85,141.04","81,788.38","78,330.13","84,619.78","103,420.48","114,571.71","97,849.12","83,452.84","81,695.12","91,402.85"
6,관악구,"780,739.08","72,220.29","71,027.43","61,048.12","59,009.26","54,010.48","59,344.91","72,739.18","82,701.92","69,984.74","58,425.35","56,823.02","63,404.38"
7,광진구,"601,719.73","55,521.74","52,863.56","45,923.54","43,934.67","42,101.44","47,270.71","58,831.92","65,037.65","53,783.88","43,653.07","42,620.06","50,177.50"
8,구로구,"896,170.81","84,997.66","80,967.86","69,546.98","65,852.06","63,391.22","69,707.41","84,613.49","92,254.83","77,539.53","64,654.61","64,819.06","77,826.10"
9,금천구,"770,452.10","72,769.83","67,757.76","59,744.47","55,840.75","55,008.33","61,404.81","73,623.34","77,684.27","65,808.78","56,501.27","55,907.59","68,400.92"
10,노원구,"647,892.81","61,434.88","59,436.87","51,731.00","48,853.54","44,802.79","49,167.31","60,015.59","66,760.90","55,450.62","46,616.31","47,274.25","56,348.74"
11,도봉구,"406,786.15","38,381.34","37,565.16","32,313.20","31,036.59","28,281.06","30,596.07","37,567.82","42,483.81","35,090.99","29,448.24","29,924.62","34,097.24"
12,동대문구,"602,083.08","57,252.08","55,873.66","48,206.59","45,113.68","40,871.14","45,111.02","55,376.60","62,888.68","53,710.10","44,287.54","43,158.66","50,233.34"
13,동작구,"571,904.77","52,618.08","50,987.54","44,211.37","42,552.79","39,842.34","44,242.24","54,288.29","61,001.77","50,934.96","42,309.44","41,488.36","47,427.62"
14,마포구,"1,042,147.57","94,924.18","89,080.91","79,879.53","75,807.34","75,150.51","83,428.99","100,568.95","108,637.26","92,794.18","79,130.89","75,891.66","86,853.18"
15,서대문구,"579,888.70","53,553.59","50,889.88","45,178.66","42,013.31","40,742.19","45,358.86","56,196.62","60,769.14","50,557.88","42,647.45","41,890.06","50,091.04"
16,서초구,"1,402,136.48","130,885.28","126,182.49","110,258.08","103,376.77","98,259.62","109,780.59","134,650.86","146,322.27","123,379.16","103,167.63","100,214.59","115,659.15"
17,성동구,"894,645.93","83,190.54","80,373.28","69,820.83","66,902.69","63,274.84","69,232.74","82,865.65","92,239.84","79,748.94","66,502.02","65,698.71","74,795.86"
18,성북구,"672,932.84","63,395.98","61,642.85","53,296.89","50,705.64","47,059.80","51,200.45","61,064.94","69,759.47","59,817.97","49,285.16","48,871.80","56,831.91"
19,송파구,"1,412,003.03","125,515.27","119,875.52","107,114.25","105,692.25","101,975.23","113,221.17","137,783.19","151,267.19","126,773.18","105,407.81","101,646.76","115,731.21"
20,양천구,"706,493.58","63,777.13","62,551.98","56,687.04","54,169.83","50,302.03","53,562.93","64,685.39","74,159.68","64,006.16","54,349.03","51,756.37","56,486.00"
21,영등포구,"1,198,879.37","108,156.89","102,479.09","92,829.64","87,748.23","87,179.19","96,765.41","118,389.62","127,178.04","106,214.17","87,996.02","84,722.26","99,220.80"
22,용산구,"624,834.07","56,032.65","53,655.00","46,762.47","44,739.21","43,790.02","49,533.61","61,101.81","67,014.27","56,585.74","47,103.41","45,370.28","53,145.61"
23,은평구,"668,314.47","61,195.66","60,149.96","52,259.11","50,790.96","47,092.54","50,443.91","62,063.33","70,987.38","59,633.14","49,923.98","49,252.88","54,521.63"
24,종로구,"758,580.82","71,813.79","67,977.41","59,290.54","54,796.04","53,739.77","60,826.36","73,766.89","78,030.17","65,696.89","54,259.46","53,258.69","65,124.81"
25,중구,"1,027,412.16","94,637.81","87,862.31","78,700.27","72,742.43","74,508.42","84,363.18","102,145.73","106,159.24","89,722.34","74,470.13","72,706.08","89,394.23"
26,중랑구,"513,951.12","48,189.02","46,912.63","40,763.03","38,790.75","35,469.57","38,605.30","48,090.94","54,575.36","45,767.35","37,537.04","37,006.69","42,243.45"
