2023년 전체 선택 온실가스 배출량 통계(가스(tCO₂)),,,,,,,,,,,,,,
번호,자치구명,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,총합,"8,419,547.72","1,555,030.38","1,396,315.70","944,580.01","615,840.12","426,513.94","327,460.25","313,362.05","320,654.30","298,372.12","342,401.49","675,918.53","1,203,098.84"
2,강남구,"624,460.51","132,109.91","123,669.05","67,921.91","42,061.38","27,490.41","23,465.79","24,606.27","30,338.43","30,525.77","23,922.52","29,839.94","68,509.14"
3,강동구,"422,852.78","64,887.38","67,823.06","45,799.52","35,819.36","28,151.20","21,673.44","20,161.77","20,989.22","20,571.15","20,809.12","29,094.21","47,073.33"
4,강북구,"254,022.04","45,235.48","44,877.73","33,148.67","20,611.23","14,525.92","10,084.99","7,985.93","7,488.56","7,372.00","9,855.27","18,026.69","34,809.56"
5,강서구,"429,502.68","75,502.89","63,598.24","44,060.33","31,610.47","21,017.20","15,159.65","14,794.20","14,137.49","13,103.50","21,035.85","46,397.63","69,085.23"
6,관악구,"386,450.72","75,518.67","63,651.46","40,032.65","26,989.65","16,551.05","11,765.66","11,070.24","9,729.24","9,958.58","15,552.25","41,601.22","64,030.07"
7,광진구,"314,041.21","60,756.26","55,878.22","39,435.57","24,255.20","17,082.71","11,292.08","9,076.39","9,207.52","8,358.32","11,548.26","22,413.08","44,737.60"
8,구로구,"306,536.62","61,191.87","53,483.86","35,406.23","23,160.32","15,751.56","10,244.41","9,607.96","9,317.74","8,497.11","10,562.14","23,242.59","46,070.82"
9,금천구,"203,632.84","36,970.32","33,913.63","23,471.54","15,617.38","10,943.39","7,789.05","7,280.24","6,950.92","6,630.66","8,396.97","16,207.63","29,461.10"
10,노원구,"415,303.92","80,237.11","77,466.18","57,926.62","38,314.07","23,513.12","16,290.71","11,365.48","11,018.35","11,168.21","11,941.96","21,892.15","54,169.97"
11,도봉구,"265,591.72","44,407.45","42,570.97","32,265.09","21,219.36","15,743.27","11,987.45","10,425.16","10,169.45","9,949.54","12,502.97","19,953.43","34,397.59"
12,동대문구,"264,385.80","52,139.07","47,739.83","33,092.78","20,136.27","13,964.61","9,358.13","7,528.73","7,403.93","6,693.78","9,236.72","18,873.01","38,218.94"
13,동작구,"297,856.42","58,781.50","48,013.68","30,161.23","19,637.60","12,360.36","9,224.75","8,785.85","7,976.09","7,934.90","12,055.87","32,339.91","50,584.69"
14,마포구,"359,069.67","62,557.54","50,438.88","33,261.46","22,596.28","16,270.49","13,667.53","14,018.05","13,420.63","12,385.64","19,298.05","40,716.67","60,438.45"
15,서대문구,"262,125.32","49,245.35","41,457.14","26,378.62","17,217.35","11,588.48","9,620.62","10,058.56","9,688.89","8,612.36","10,426.26","25,945.24","41,886.44"
16,서초구,"401,370.84","69,728.00","64,501.51","43,414.02","30,027.13","20,252.46","17,138.99","18,222.50","20,245.35","20,350.80","19,143.38","29,790.89","48,555.81"
17,성동구,"248,435.94","46,091.63","42,520.57","30,071.50","18,435.46","13,536.30","10,208.66","9,230.66","9,088.59","7,655.38","9,812.50","17,827.84","33,956.84"
18,성북구,"343,819.49","65,798.11","62,119.05","44,704.06","27,051.53","18,623.48","12,992.08","10,374.33","10,088.44","9,187.71","11,799.53","22,906.44","48,174.74"
19,송파구,"474,012.06","76,303.14","88,477.57","62,491.04","36,595.87","24,924.30","19,820.71","19,092.15","22,136.48","21,594.64","18,546.94","26,448.60","57,580.62"
20,양천구,"363,152.62","72,144.29","48,644.70","35,906.77","23,782.06","13,519.17","10,083.56","13,566.18","13,998.51","11,554.38","11,832.70","38,395.45","69,724.84"
21,영등포구,"350,823.97","66,308.64","53,374.44","33,941.22","22,364.45","15,858.97","13,627.79","14,486.71","14,622.43","12,520.15","14,062.77","34,145.59","55,510.81"
22,용산구,"241,021.75","45,029.96","39,208.86","26,061.25","16,619.13","12,238.34","9,713.60","9,454.79","9,384.57","8,215.61","9,425.79","19,728.42","35,941.43"
23,은평구,"329,434.14","62,485.35","52,486.07","33,324.39","23,137.29","14,836.26","10,782.45","10,240.68","9,653.66","9,612.90","14,660.29","35,236.38","52,978.41"
24,종로구,"267,099.44","47,791.79","39,982.38","27,707.79","17,268.00","13,900.12","12,648.97","13,179.17","13,922.14","11,196.53","10,716.23","21,439.18","37,347.14"
25,중구,"289,269.72","48,333.78","39,325.82","27,106.41","16,718.71","15,825.10","16,139.17","18,043.20","19,316.46","15,192.61","12,416.30","21,910.51","38,941.66"
26,중랑구,"305,275.50","55,474.90","51,092.78","37,489.36","24,594.56","18,045.68","12,680.01","10,706.84","10,361.21","9,529.89","12,840.85","21,545.83","40,913.59"
