2021년 전체 선택 온실가스 배출량 통계(전기(tCO₂)),,,,,,,,,,,,,,
번호,자치구명,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,총합,"20,469,172.49","1,898,846.59","1,779,853.76","1,527,100.27","1,482,388.45","1,431,284.78","1,600,647.33","1,921,902.45","2,233,544.41","1,800,502.00","1,546,094.24","1,531,263.01","1,715,745.19"
2,강남구,"2,041,321.23","196,443.09","179,934.88","153,152.28","143,496.05","138,969.60","159,536.09","196,292.80","217,392.42","176,709.24","151,275.91","151,848.33","176,270.54"
3,강동구,"680,817.93","60,066.62","57,311.86","47,706.10","47,034.54","44,982.15","50,593.28","65,726.34","78,947.50","62,249.35","53,948.79","53,507.36","58,744.06"
4,강북구,"394,704.60","37,287.33","36,100.68","29,620.81","29,188.06","27,358.97","29,623.87","34,790.89","44,494.31","34,575.93","29,510.40","29,465.10","32,688.27"
5,강서구,"1,057,832.80","98,600.08","91,344.85","79,856.60","77,695.21","74,992.66","82,229.28","97,147.21","114,465.72","93,324.90","80,352.55","78,974.78","88,848.97"
6,관악구,"766,551.66","71,082.86","68,416.14","56,916.47","56,673.73","53,268.33","58,500.91","68,858.06","85,415.77","68,541.62","58,670.27","57,506.17","62,701.34"
7,광진구,"584,173.66","53,625.69","50,241.96","42,494.32","41,584.13","40,610.72","45,944.74","55,811.55","66,600.78","51,685.66","43,849.01","43,307.95","48,417.14"
8,구로구,"859,025.33","82,791.88","76,731.10","63,533.25","61,902.83","60,067.42","66,881.32","79,582.60","91,614.24","73,475.14","63,834.14","64,127.25","74,484.14"
9,금천구,"744,851.64","70,147.07","62,826.57","55,302.43","53,222.58","52,261.98","59,102.39","71,321.14","77,834.73","64,266.61","56,809.75","56,930.20","64,826.17"
10,노원구,"631,219.53","59,654.26","56,864.40","47,821.48","46,849.33","43,874.37","48,043.86","57,704.00","67,925.95","53,469.00","47,130.81","47,772.05","54,110.03"
11,도봉구,"400,802.62","37,647.25","36,231.92","30,197.77","29,983.25","28,179.70","30,308.80","36,032.51","44,358.62","34,298.59","29,726.69","30,365.42","33,472.12"
12,동대문구,"587,398.79","56,102.72","53,531.35","44,338.59","42,796.30","40,095.47","44,018.76","52,503.70","65,523.81","51,825.39","43,882.33","43,663.87","49,116.50"
13,동작구,"561,494.30","51,583.45","48,982.37","41,295.32","40,805.10","39,175.59","43,640.93","52,119.69","63,600.18","49,973.19","42,642.21","41,859.65","45,816.62"
14,마포구,"983,685.76","89,569.12","83,177.49","73,531.54","71,102.14","69,527.93","78,158.22","94,006.22","106,165.63","86,652.70","75,769.04","74,228.96","81,796.76"
15,서대문구,"559,518.92","51,927.82","47,890.92","41,894.47","40,066.07","39,251.27","44,044.30","53,867.81","60,866.16","48,319.09","41,992.14","42,024.12","47,374.75"
16,서초구,"1,368,803.33","127,755.73","120,590.14","103,155.14","99,236.45","95,208.19","106,654.07","128,704.59","148,438.60","121,457.19","102,937.48","101,312.72","113,353.03"
17,성동구,"881,314.28","81,056.57","76,906.11","66,558.96","65,366.72","62,994.95","68,871.24","79,999.18","95,349.93","78,163.71","66,312.64","66,813.26","72,921.01"
18,성북구,"657,988.17","61,747.82","59,277.10","49,685.87","48,605.11","46,065.91","50,278.84","58,313.01","72,153.66","57,546.40","49,113.87","49,883.50","55,317.09"
19,송파구,"1,369,808.07","122,122.23","114,731.09","101,040.35","99,463.80","98,436.69","109,913.11","130,776.86","151,548.51","122,355.65","105,083.20","102,225.05","112,111.55"
20,양천구,"701,558.52","63,349.99","61,853.60","53,346.75","52,839.36","49,966.23","53,005.14","63,062.35","76,771.60","62,716.56","54,625.16","53,059.63","56,962.17"
21,영등포구,"1,172,889.73","106,251.68","98,352.57","87,776.80","84,297.09","83,408.18","95,841.45","115,567.58","126,969.01","103,612.33","88,881.80","85,611.37","96,319.85"
22,용산구,"577,906.45","52,434.06","49,089.20","41,775.39","40,783.14","40,019.56","45,558.54","55,819.34","65,028.26","51,925.99","44,117.36","43,054.67","48,300.93"
23,은평구,"654,042.52","59,582.39","57,908.96","48,980.99","48,916.52","46,247.18","49,695.82","57,984.67","73,827.44","57,915.38","49,784.55","49,562.92","53,635.69"
24,종로구,"735,294.05","69,338.38","64,144.16","55,566.48","53,051.09","51,463.15","59,455.76","70,875.42","77,308.69","63,925.73","54,102.81","53,826.72","62,235.66"
25,중구,"996,116.24","92,296.50","82,965.28","74,077.00","70,663.43","70,179.48","83,121.39","99,742.15","104,262.85","87,409.69","74,205.76","72,832.62","84,360.11"
26,중랑구,"500,052.36","46,382.04","44,449.06","37,475.10","36,766.42","34,679.10","37,625.23","45,292.80","56,680.04","44,106.98","37,535.58","37,499.34","41,560.68"
