2025년 전체 선택 온실가스 배출량 통계(지역난방(tCO₂)),,,,,,,,,,,,,,
번호,자치구명,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,총합,"643,786.64","122,141.66","112,753.27","72,090.58","41,476.39","27,160.68","19,375.54","19,250.11","17,407.10","16,976.26","27,547.65","59,818.07","107,789.32"
2,강남구,"113,747.95","22,000.25","20,263.46","12,971.53","7,294.40","4,360.12","2,820.68","2,707.03","2,423.89","2,428.16","4,914.73","11,520.62","20,043.08"
3,강동구,"32,932.38","5,845.44","5,351.74","3,504.32","2,157.81","1,483.30",980.97,"1,335.27","1,234.48","1,153.91","1,511.80","2,992.83","5,380.51"
4,강북구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,강서구,"66,106.45","13,329.50","12,935.99","7,988.94","4,540.56","2,510.54","1,428.48","1,105.05",948.56,"1,114.36","2,488.02","5,977.85","11,738.60"
6,관악구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,광진구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,구로구,"6,671.70","1,322.24","1,235.76",749.03,417.37,286.47,218.98,213.86,188.61,180.68,248.74,548.19,"1,061.77"
9,금천구,819.26,170.84,155.70,91.67,51.89,33.48,17.15,12.05,9.68,13.96,33.40,79.02,150.42
10,노원구,"57,465.12","11,864.08","10,755.09","6,842.13","3,877.62","2,393.62","1,466.44","1,011.04",811.94,"1,042.23","2,381.98","5,361.75","9,657.21"
11,도봉구,"9,467.19","1,927.47","1,747.72","1,101.71",619.84,372.90,230.21,167.08,132.43,169.80,389.14,921.89,"1,687.00"
12,동대문구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,동작구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,마포구,"50,440.71","6,390.59","4,627.38","4,223.38","3,293.73","3,470.32","3,447.58","4,354.50","4,205.33","3,549.40","3,222.29","3,871.16","5,785.04"
15,서대문구,"9,701.86","1,883.51","1,730.38","1,133.82",677.33,446.07,267.36,202.10,164.87,194.91,421.67,916.38,"1,663.45"
16,서초구,"53,152.07","10,303.68","9,572.79","6,221.57","3,513.44","2,150.79","1,359.24","1,149.85",990.96,"1,082.49","2,242.16","5,214.78","9,350.32"
17,성동구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,성북구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,송파구,"109,560.34","20,052.89","18,605.00","11,507.08","6,373.70","4,505.69","4,219.47","4,819.80","4,500.17","3,837.13","4,285.41","9,481.16","17,372.85"
20,양천구,"64,242.23","12,990.58","12,077.91","7,657.03","4,403.16","2,683.08","1,455.30","1,008.24",821.20,"1,052.02","2,673.19","6,169.94","11,250.60"
21,영등포구,"22,685.41","4,897.98","5,339.62","2,706.48","1,141.04",546.06,337.54,268.19,223.84,272.15,708.76,"2,017.72","4,226.05"
22,용산구,"15,649.01","3,173.91","2,899.77","1,870.32","1,041.53",597.01,324.17,243.96,203.23,245.52,659.07,"1,581.74","2,808.77"
23,은평구,"18,615.76","3,633.80","3,300.27","2,142.02","1,276.42",823.15,505.87,410.84,355.31,391.58,784.97,"1,801.78","3,189.75"
24,종로구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,중구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,중랑구,"12,529.19","2,354.90","2,154.69","1,379.57",796.54,498.11,296.11,241.25,192.59,247.97,582.31,"1,361.24","2,423.90"
