2026년 전체 선택 온실가스 배출량 통계(지역난방(tCO₂)),,,,,,,,,,,,,,
번호,자치구명,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,총합,"303,476.27","138,901.29","94,804.84","69,770.14",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,강남구,"54,850.56","24,954.78","17,283.02","12,612.76",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,강동구,"14,954.40","6,724.31","4,751.96","3,478.12",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,강북구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,강서구,"33,887.64","15,629.80","10,682.31","7,575.54",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,관악구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,광진구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,구로구,"3,053.23","1,387.38",971.63,694.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,금천구,414.11,194.96,129.72,89.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,노원구,"27,829.55","13,360.77","8,433.94","6,034.84",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,도봉구,"4,609.59","2,103.03","1,465.60","1,040.95",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,동대문구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,동작구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,마포구,"16,520.21","7,133.47","5,160.85","4,225.88",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,서대문구,"4,693.70","2,115.11","1,484.77","1,093.81",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,서초구,"26,228.67","11,779.49","8,235.30","6,213.87",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,성동구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,성북구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,송파구,"48,901.51","22,042.02","15,212.66","11,646.82",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,양천구,"32,637.77","15,396.41","9,989.17","7,252.20",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,영등포구,"11,413.34","5,464.22","3,592.93","2,356.19",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,용산구,"7,753.30","3,529.80","2,423.63","1,799.86",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,은평구,"9,017.51","4,048.91","2,853.76","2,114.85",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,종로구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,중구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,중랑구,"6,711.19","3,036.82","2,133.58","1,540.79",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
