2024년 전체 선택 온실가스 배출량 통계(가스(tCO₂)),,,,,,,,,,,,,,
번호,자치구명,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,총합,"8,242,986.74","1,588,742.51","1,319,577.41","1,048,356.44","653,705.52","397,715.09","329,914.33","322,298.06","329,676.80","291,879.57","321,443.12","544,828.31","1,094,849.58"
2,강남구,"575,620.68","111,631.23","105,662.30","78,274.91","48,376.41","24,902.32","22,124.14","24,480.62","29,145.90","28,394.79","26,256.62","25,966.74","50,404.70"
3,강동구,"421,254.31","67,890.71","58,841.50","52,143.11","39,267.65","25,509.29","22,745.35","20,839.87","21,718.11","20,814.20","21,079.73","26,438.74","43,966.04"
4,강북구,"249,875.76","49,875.41","42,051.14","35,596.03","22,482.07","12,512.17","9,505.59","8,135.23","7,417.64","6,683.99","8,715.74","15,815.18","31,085.57"
5,강서구,"416,787.72","78,220.40","63,654.67","48,524.72","28,853.84","21,432.27","15,304.86","14,240.98","15,217.65","12,568.47","16,712.89","36,336.83","65,720.14"
6,관악구,"377,054.91","78,595.42","60,916.27","46,047.04","24,076.41","15,542.82","11,666.94","10,825.19","10,217.94","9,050.09","14,073.52","32,384.20","63,659.07"
7,광진구,"307,284.89","60,012.02","53,584.64","43,040.46","26,708.02","14,608.09","11,516.95","9,857.56","9,168.35","8,267.60","10,041.14","18,575.08","41,904.97"
8,구로구,"300,995.25","66,929.76","49,393.34","40,124.04","23,767.66","13,741.43","10,499.63","9,630.79","9,052.23","7,475.19","9,286.73","18,098.74","42,995.70"
9,금천구,"200,014.37","40,409.98","31,808.87","25,917.03","15,615.88","10,168.30","7,889.89","7,174.03","6,876.67","6,213.02","7,380.56","12,954.16","27,605.97"
10,노원구,"399,789.78","80,264.03","74,731.41","57,294.08","46,590.66","19,291.29","14,481.28","11,738.78","11,034.86","10,586.13","11,527.41","18,466.22","43,783.62"
11,도봉구,"256,886.53","48,657.53","38,653.97","34,248.18","22,157.57","13,747.35","11,210.55","10,481.46","9,777.20","9,007.62","10,937.92","17,189.81","30,817.37"
12,동대문구,"262,106.72","55,834.16","46,098.85","35,977.43","21,891.42","11,868.14","9,345.36","8,017.60","7,646.76","6,718.16","7,758.78","15,657.27","35,292.79"
13,동작구,"291,950.47","61,844.15","46,372.21","35,571.72","17,602.52","11,627.59","9,224.03","8,707.66","8,326.42","7,395.59","10,580.17","25,124.73","49,573.68"
14,마포구,"413,864.44","70,517.89","54,062.54","45,002.89","27,756.63","22,502.50","20,571.28","20,899.39","20,809.86","19,353.95","21,360.80","33,560.18","57,466.53"
15,서대문구,"259,234.03","51,741.32","39,864.49","30,632.83","16,216.33","10,972.71","9,613.39","9,926.18","9,980.63","8,704.52","9,539.25","20,471.47","41,570.92"
16,서초구,"388,648.57","67,477.99","59,676.54","46,268.69","31,844.88","18,928.25","16,514.98","18,110.88","20,232.18","20,182.34","19,109.10","24,948.49","45,354.25"
17,성동구,"245,534.08","49,068.57","41,193.89","32,535.11","20,242.90","11,989.01","10,273.09","9,305.29","8,849.89","7,861.64","8,477.46","14,826.40","30,910.81"
18,성북구,"338,100.25","69,442.29","59,267.17","48,352.41","29,574.34","16,093.98","12,744.35","11,158.08","10,557.60","9,136.80","10,366.26","19,103.40","42,303.56"
19,송파구,"448,361.12","83,819.21","77,366.46","61,179.19","42,255.73","21,326.56","18,854.81","18,712.62","20,660.75","20,526.68","19,672.75","21,953.74","42,032.63"
20,양천구,"348,138.77","70,914.11","52,261.29","43,365.68","26,660.87","17,949.10","10,785.42","12,336.66","14,250.18","6,907.64","10,658.66","24,281.11","57,768.05"
21,영등포구,"345,853.95","71,472.77","51,232.51","39,214.87","20,723.91","14,827.89","13,961.53","14,532.08","15,000.01","11,994.43","13,043.99","25,858.75","53,991.20"
22,용산구,"231,673.14","43,867.74","37,330.12","29,347.39","16,392.15","10,688.68","9,489.58","9,468.12","9,915.49","8,217.66","8,573.48","15,685.14","32,697.59"
23,은평구,"321,603.32","64,253.22","50,115.90","38,255.52","20,908.61","14,159.25","10,806.64","10,135.23","9,542.28","8,904.48","13,261.89","28,116.23","53,144.06"
24,종로구,"261,029.68","46,166.18","38,468.26","30,849.89","18,151.47","12,553.44","12,353.50","13,853.61","14,306.19","11,752.59","9,926.88","16,938.63","35,709.03"
25,중구,"288,287.67","48,746.30","37,617.36","30,280.19","18,657.99","15,043.90","15,853.17","18,773.42","19,660.91","16,130.80","12,253.37","17,640.00","37,630.28"
26,중랑구,"293,036.34","51,090.10","49,351.68","40,313.02","26,929.60","15,728.78","12,578.03","10,956.72","10,311.07","9,031.20","10,848.00","18,437.08","37,461.06"
