2026년 전체 선택 온실가스 배출량 통계(가스(tCO₂)),,,,,,,,,,,,,,
번호,자치구명,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,총합,"3,799,630.76","1,472,996.38","1,367,556.40","959,077.98",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2,강남구,"227,851.95","78,129.10","83,964.22","65,758.64",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3,강동구,"154,883.74","54,476.26","56,478.03","43,929.45",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,강북구,"130,441.78","48,611.80","47,014.49","34,815.50",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,강서구,"172,260.84","72,073.41","59,633.29","40,554.14",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,관악구,"203,458.82","85,567.48","71,131.61","46,759.73",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,광진구,"167,571.17","63,385.61","60,778.98","43,406.57",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,구로구,"169,756.34","64,042.33","64,566.05","41,147.97",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,금천구,"103,797.20","39,237.36","39,333.27","25,226.57",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,노원구,"124,271.36","45,240.19","44,886.86","34,144.31",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11,도봉구,"119,114.28","44,999.80","42,746.94","31,367.54",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,동대문구,"153,399.31","57,425.14","56,774.89","39,199.28",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,동작구,"154,753.79","65,934.74","53,583.24","35,235.80",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,마포구,"154,444.95","65,334.49","53,226.43","35,884.02",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,서대문구,"134,471.13","56,102.47","47,137.30","31,231.35",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16,서초구,"176,064.61","65,276.60","65,297.33","45,490.69",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17,성동구,"131,454.62","49,144.32","48,176.91","34,133.38",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,성북구,"194,772.93","71,930.95","70,769.03","52,072.95",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,송파구,"184,544.24","63,663.23","67,972.18","52,908.83",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,양천구,"100,728.90","39,687.50","36,883.43","24,157.98",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,영등포구,"177,020.23","75,508.67","61,204.07","40,307.49",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
22,용산구,"110,819.48","44,658.50","39,442.49","26,718.49",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
23,은평구,"159,507.52","66,888.37","56,514.99","36,104.16",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
24,종로구,"121,815.65","49,397.20","42,413.48","30,004.96",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,중구,"127,923.60","52,851.40","44,041.49","31,030.71",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,중랑구,"144,502.33","53,429.44","53,585.42","37,487.47",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
