2023년 전체 선택 온실가스 배출량 통계(전기(tCO₂)),,,,,,,,,,,,,,
번호,자치구명,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,총합,"21,290,311.48","2,017,750.13","1,867,910.68","1,574,562.20","1,511,010.43","1,499,534.95","1,676,053.99","1,971,247.11","2,266,722.90","2,032,199.84","1,555,678.03","1,553,734.61","1,763,906.60"
2,강남구,"2,120,756.64","209,326.96","191,748.45","158,886.79","146,010.94","145,774.33","167,040.61","198,832.25","223,849.00","197,524.82","149,242.89","152,850.19","179,669.41"
3,강동구,"731,694.61","68,950.52","64,209.83","53,803.74","52,576.31","51,308.39","56,982.38","67,430.35","78,834.63","70,277.32","53,794.38","53,380.02","60,146.73"
4,강북구,"402,506.44","39,626.24","37,118.25","29,942.28","29,013.81","27,584.35","30,323.63","35,688.36","42,969.55","38,840.04","29,424.67","28,875.24","33,100.02"
5,강서구,"1,128,195.89","106,084.00","98,936.43","84,962.07","81,401.68","79,989.91","86,736.79","101,708.21","118,037.18","107,305.38","84,610.91","84,075.73","94,347.61"
6,관악구,"788,745.56","74,133.70","70,574.73","58,169.72","57,192.12","54,336.87","60,663.13","70,948.36","85,058.31","77,160.97","58,906.47","57,224.66","64,376.52"
7,광진구,"604,662.92","56,430.52","52,505.76","43,404.61","42,082.12","41,808.74","47,999.89","57,350.63","67,022.87","59,277.33","43,545.94","43,551.32","49,683.20"
8,구로구,"898,180.04","85,616.36","78,902.56","66,587.78","64,460.44","64,428.32","70,853.80","82,639.47","95,050.03","83,733.66","64,446.85","66,344.28","75,116.49"
9,금천구,"768,719.60","72,994.72","66,110.77","57,173.89","54,328.43","55,371.57","61,494.71","71,846.25","79,411.22","70,719.42","55,907.40","57,826.25","65,534.97"
10,노원구,"649,377.11","64,821.94","58,604.14","48,675.91","46,853.13","44,873.85","49,835.17","58,773.63","68,121.84","60,306.81","46,580.68","47,151.93","54,778.08"
11,도봉구,"408,611.25","39,744.32","37,194.61","30,509.65","29,828.08","28,261.53","30,827.51","36,714.21","43,512.87","38,278.47","29,636.88","29,920.36","34,182.76"
12,동대문구,"609,458.47","59,584.37","55,390.19","45,397.09","43,426.60","41,425.96","46,389.61","54,735.76","64,413.72","59,372.63","44,695.27","43,777.53","50,849.75"
13,동작구,"570,487.57","53,277.08","50,084.35","41,630.51","40,801.00","39,796.71","44,534.73","52,157.60","62,277.24","55,760.19","41,937.15","41,520.09","46,710.93"
14,마포구,"1,051,170.48","97,028.72","89,596.04","77,004.91","73,682.93","75,754.97","84,064.89","98,410.85","111,659.97","100,134.74","78,481.22","77,150.31","88,200.94"
15,서대문구,"587,419.04","54,767.15","50,028.46","43,331.28","41,391.67","41,834.02","46,731.91","55,354.02","63,170.63","55,546.72","42,667.64","43,306.45","49,289.09"
16,서초구,"1,410,311.62","134,711.98","125,672.74","104,671.07","99,940.28","98,513.82","110,884.69","131,279.42","149,430.39","135,471.41","102,483.74","101,927.60","115,324.47"
17,성동구,"898,093.03","85,353.21","79,921.64","66,721.17","64,902.53","63,080.92","70,055.07","80,478.81","93,787.71","86,774.00","66,074.83","66,810.17","74,132.97"
18,성북구,"678,035.98","64,858.11","61,032.02","50,299.86","48,840.61","47,190.71","52,232.22","60,338.19","71,093.87","65,741.83","49,817.03","49,838.43","56,753.10"
19,송파구,"1,410,604.50","129,267.45","119,285.48","102,515.80","100,289.41","101,462.24","113,412.90","133,318.00","153,179.93","136,214.79","104,742.20","102,423.75","114,492.53"
20,양천구,"703,592.43","66,027.38","61,753.73","53,222.05","51,951.59","49,583.79","53,390.20","62,594.70","74,362.77","68,105.76","54,355.00","51,620.28","56,625.18"
21,영등포구,"1,204,699.86","110,483.44","100,930.89","88,681.31","84,371.24","87,281.16","98,321.85","116,180.17","130,791.29","114,974.98","88,473.41","86,934.37","97,275.77"
22,용산구,"661,333.26","60,558.74","56,226.79","47,342.66","46,179.58","46,673.35","53,171.76","62,414.29","71,760.63","64,413.61","49,239.83","48,839.71","54,512.33"
23,은평구,"670,826.82","62,727.34","59,494.98","49,685.53","48,818.48","46,771.24","50,938.35","60,265.67","72,436.32","65,185.83","50,017.42","49,426.61","55,059.06"
24,종로구,"768,219.16","73,856.37","67,954.02","57,032.32","53,501.05","54,548.09","62,355.75","72,843.83","80,291.08","72,240.01","54,060.62","55,278.94","64,257.07"
25,중구,"1,046,960.06","97,339.06","87,798.60","76,523.84","71,899.96","76,410.27","87,539.36","102,159.55","110,427.46","98,532.70","74,789.84","76,535.39","87,004.03"
26,중랑구,"517,649.10","50,180.43","46,835.22","38,386.34","37,266.43","35,469.83","39,273.11","46,784.51","55,772.42","50,306.41","37,745.78","37,144.99","42,483.62"
