2020년 전체 선택 온실가스 배출량 통계(지역난방(tCO₂)),,,,,,,,,,,,,,
번호,자치구명,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,총합,"650,428.78","107,869.83","95,316.65","73,334.85","49,415.79","25,867.23","20,323.91","20,703.86","22,987.68","15,893.37","35,027.76","66,139.53","117,548.33"
2,강남구,"114,608.67","19,662.37","17,434.37","13,556.18","9,377.01","4,088.94","2,501.97","2,475.95","2,624.85","2,086.29","6,598.30","12,622.52","21,579.92"
3,강동구,"19,229.68","3,349.10","2,927.21","2,193.70","1,574.10",859.53,501.41,442.85,457.49,416.87,"1,016.25","1,964.24","3,526.93"
4,강북구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,강서구,"77,954.98","11,692.23","10,285.71","7,946.45","5,173.29","2,992.57","3,728.68","4,208.00","5,126.38","3,104.73","3,616.81","7,015.97","13,064.15"
6,관악구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,광진구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,구로구,"6,331.96","1,109.67",962.57,715.74,476.30,257.05,150.01,138.94,143.74,145.49,340.26,656.25,"1,235.94"
9,금천구,920.04,165.32,146.08,110.53,74.40,26.14,16.63,14.87,14.68,16.61,49.95,101.37,183.45
10,노원구,"65,380.56","11,448.88","10,095.27","7,829.60","5,276.17","2,651.85","1,422.29","1,258.57","1,279.04","1,349.19","3,584.26","6,933.07","12,252.38"
11,도봉구,"10,316.68","1,832.53","1,611.43","1,243.91",821.43,379.76,209.81,186.19,161.82,204.22,579.76,"1,123.55","1,962.28"
12,동대문구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,동작구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,마포구,"46,597.36","5,400.37","4,844.20","4,011.16","3,022.19","3,040.15","3,617.85","3,844.29","4,252.98","1,852.22","2,993.92","3,807.32","5,910.71"
15,서대문구,"9,562.38","1,581.08","1,467.82","1,136.35",768.56,400.72,234.03,211.80,225.54,235.33,533.51,"1,002.49","1,765.16"
16,서초구,"47,251.60","8,296.61","7,324.28","5,584.21","3,765.51","1,676.74",964.59,937.17,971.67,894.44,"2,637.50","5,138.38","9,060.51"
17,성동구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,성북구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,송파구,"113,843.78","19,007.67","16,620.77","12,471.43","8,217.16","4,515.93","4,036.29","4,229.14","4,653.04","3,045.74","5,805.10","11,140.03","20,101.47"
20,양천구,"69,990.27","12,112.82","10,788.00","8,265.06","5,543.69","2,730.23","1,617.34","1,560.58","1,799.41","1,377.46","3,723.82","7,298.69","13,173.18"
21,영등포구,"22,120.04","4,323.11","3,823.81","2,709.72","1,514.84",468.94,296.98,275.02,255.28,251.51,896.86,"2,404.05","4,899.91"
22,용산구,"15,894.56","2,742.69","2,437.43","1,907.64","1,304.00",542.19,291.08,270.95,261.02,264.85,943.23,"1,805.09","3,124.39"
23,은평구,"19,948.04","3,366.85","2,967.30","2,419.39","1,669.78",822.89,479.89,434.03,450.40,419.91,"1,129.84","2,039.90","3,747.89"
24,종로구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,중구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,중랑구,"10,478.19","1,778.52","1,580.41","1,233.78",837.36,413.62,255.07,215.51,310.34,228.49,578.39,"1,086.63","1,960.06"
