2020년 전체 선택 온실가스 배출량 통계(가스(tCO₂)),,,,,,,,,,,,,,
번호,자치구명,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,총합,"8,379,690.05","1,405,419.47","1,297,200.00","1,029,087.58","735,638.31","487,594.14","340,409.55","298,981.57","309,125.75","256,733.39","414,740.07","689,171.01","1,115,589.21"
2,강남구,"577,621.67","95,780.20","91,849.26","78,903.84","52,363.39","31,690.99","23,224.18","27,063.89","28,907.95","28,540.17","25,078.49","34,720.41","59,498.88"
3,강동구,"392,831.42","54,388.92","54,495.84","45,272.44","35,440.04","24,887.26","18,948.16","16,799.55","19,814.55","18,244.80","21,469.50","33,397.31","49,673.03"
4,강북구,"259,210.12","43,418.21","41,165.83","34,433.74","25,350.65","17,197.65","10,201.28","8,182.64","8,702.56","7,521.07","11,281.67","15,905.21","35,849.60"
5,강서구,"413,257.58","66,628.41","59,395.98","45,038.92","31,657.30","20,360.40","15,223.59","15,595.38","15,074.83","13,968.80","22,672.26","40,255.09","67,386.61"
6,관악구,"412,823.15","70,652.65","63,515.36","48,166.47","34,720.79","19,678.37","11,849.02","10,925.07","11,345.72","10,860.13","21,429.29","40,918.91","68,761.36"
7,광진구,"304,879.04","55,978.27","52,369.12","39,288.05","28,270.01","20,541.99","11,602.13","8,200.52","7,717.40","3,277.71","17,024.14","25,877.75","34,731.95"
8,구로구,"326,384.63","55,640.11","52,478.26","40,868.73","29,130.06","18,600.74","12,347.75","9,882.77","10,713.03","8,767.32","13,271.76","26,843.34","47,840.75"
9,금천구,"212,325.93","34,400.79","32,482.88","25,531.27","18,975.00","12,452.20","8,632.02","7,574.83","8,139.95","6,760.03","9,924.37","17,474.04","29,978.55"
10,노원구,"419,742.80","71,432.55","70,744.75","62,291.57","48,145.74","33,066.59","16,410.98","11,980.84","12,306.62","10,102.97","12,815.78","17,996.28","52,448.13"
11,도봉구,"266,560.82","40,188.90","39,619.66","32,510.08","25,692.63","18,040.47","12,371.71","11,010.97","11,548.13","10,195.95","13,164.40","17,428.42","34,789.50"
12,동대문구,"254,799.19","47,337.07","43,732.67","32,598.31","23,435.47","16,166.51","9,603.61","7,048.59","6,964.00","2,943.74","13,537.01","21,186.82","30,245.38"
13,동작구,"321,753.48","54,889.02","49,010.02","37,002.72","26,074.00","14,569.03","9,893.91","9,081.39","9,385.35","8,639.73","16,323.39","32,127.91","54,757.01"
14,마포구,"422,729.43","62,276.54","54,889.67","42,728.90","32,263.90","23,489.48","20,440.67","20,393.29","21,350.49","18,203.98","25,492.28","40,106.58","61,093.65"
15,서대문구,"268,054.84","46,302.26","40,670.22","31,073.63","21,573.84","12,506.86","8,705.07","9,002.32","9,369.35","7,725.30","13,231.99","25,452.47","42,441.51"
16,서초구,"419,515.00","63,521.48","61,916.49","51,084.00","36,781.49","23,398.21","17,947.14","19,765.79","20,877.13","18,884.60","21,358.60","31,810.41","52,169.65"
17,성동구,"236,287.04","43,201.88","38,943.96","31,293.51","21,892.06","15,457.96","10,202.46","7,068.37","7,687.56","3,740.13","12,528.86","20,304.97","23,965.32"
18,성북구,"329,571.33","59,608.08","55,987.86","44,872.06","32,284.41","22,665.09","14,003.37","8,628.08","8,010.11","4,190.85","15,428.27","23,689.55","40,203.64"
19,송파구,"483,332.15","80,019.89","79,349.87","67,779.98","44,690.65","28,804.97","19,788.62","18,209.29","19,964.71","19,873.34","18,796.51","32,219.75","53,834.56"
20,양천구,"347,045.85","59,090.63","51,577.74","38,291.97","26,621.61","15,086.57","11,346.51","10,403.02","13,392.93","11,984.86","15,422.52","33,534.70","60,292.79"
21,영등포구,"349,103.70","57,548.46","51,600.71","37,883.46","26,373.61","16,694.96","13,801.46","13,486.55","14,585.21","10,767.18","17,205.03","32,705.26","56,451.82"
22,용산구,"241,853.31","42,941.24","39,133.15","28,631.64","19,882.11","13,730.73","9,597.46","8,218.28","8,295.82","5,388.96","12,438.26","21,078.32","32,517.34"
23,은평구,"351,288.65","57,953.07","51,586.48","39,492.15","29,139.63","17,456.41","11,413.71","10,339.23","10,499.20","10,493.77","19,573.36","35,472.00","57,869.64"
24,종로구,"240,571.69","44,889.21","38,204.12","29,133.31","19,441.72","14,339.34","12,604.98","10,395.91","8,568.52","6,166.61","12,984.22","21,906.31","21,937.44"
25,중구,"236,539.40","45,969.07","38,192.92","27,510.85","16,612.22","14,639.54","16,122.98","13,510.47","9,356.20","7,632.79","12,906.41","20,919.13","13,166.82"
26,중랑구,"291,607.84","51,362.57","44,287.16","37,405.98","28,825.98","22,071.80","14,126.78","6,214.52","6,548.42","1,858.60","19,381.70","25,840.07","33,684.27"
