2022년 전체 선택 온실가스 배출량 통계(지역난방(tCO₂)),,,,,,,,,,,,,,
번호,자치구명,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,총합,"715,834.10","134,076.03","115,221.06","79,942.35","41,283.42","26,864.82","22,264.48","24,583.08","23,597.27","20,766.21","35,847.28","56,764.07","134,624.03"
2,강남구,"126,709.98","24,729.54","21,255.07","15,099.83","7,568.94","4,217.45","2,896.66","2,831.96","2,689.45","2,814.29","6,770.62","11,013.85","24,822.32"
3,강동구,"27,978.68","5,323.78","4,532.10","3,194.41","1,704.23","1,112.61",752.81,628.03,591.36,714.50,"1,450.33","2,287.35","5,687.15"
4,강북구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,강서구,"89,579.17","15,145.18","12,954.54","8,751.63","4,513.45","3,574.81","4,315.29","6,077.15","5,770.17","3,823.91","3,836.19","5,874.84","14,942.02"
6,관악구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,광진구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,구로구,"7,530.04","1,525.50","1,313.90",862.87,429.19,272.95,209.28,212.57,202.02,200.37,341.57,556.49,"1,403.35"
9,금천구,974.35,204.20,174.82,117.97,59.33,29.18,17.14,13.53,12.63,15.53,48.24,81.78,199.98
10,노원구,"67,773.23","13,566.55","11,601.10","8,096.38","4,172.35","2,453.11","1,548.77","1,190.32","1,141.69","1,433.89","3,492.48","5,756.77","13,319.81"
11,도봉구,"10,717.64","2,162.39","1,851.83","1,281.36",655.18,385.77,220.36,172.58,164.56,209.50,555.29,917.11,"2,141.71"
12,동대문구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,동작구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,마포구,"53,986.66","6,777.49","5,888.22","4,433.84","3,209.21","3,381.68","3,825.05","4,737.35","4,601.00","3,722.06","3,239.98","3,548.79","6,621.99"
15,서대문구,"10,291.44","2,010.04","1,725.82","1,223.22",643.73,408.64,271.15,215.54,204.52,250.45,528.61,844.56,"1,965.15"
16,서초구,"51,827.09","10,185.13","8,771.26","6,199.35","3,133.86","1,754.74","1,100.08",959.76,901.94,"1,057.60","2,756.62","4,536.25","10,470.50"
17,성동구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,성북구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,송파구,"122,090.79","22,744.51","19,501.05","13,250.47","6,669.84","4,488.41","3,982.41","4,656.02","4,515.49","3,618.62","5,718.33","9,431.20","23,514.42"
20,양천구,"73,206.05","14,584.29","12,656.93","8,721.40","4,419.40","2,551.96","1,685.80","1,604.68","1,543.28","1,549.93","3,612.74","5,879.56","14,396.10"
21,영등포구,"23,631.83","5,393.18","4,617.82","2,784.30","1,059.36",475.64,315.04,256.83,244.63,285.17,880.50,"1,805.20","5,514.16"
22,용산구,"16,154.96","3,209.82","2,762.71","1,937.44",973.29,511.05,299.28,244.06,231.85,272.66,882.58,"1,458.06","3,372.15"
23,은평구,"21,111.56","4,190.22","3,590.74","2,547.87","1,329.84",814.65,515.87,428.35,409.23,495.61,"1,103.03","1,755.67","3,930.49"
24,종로구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,중구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,중랑구,"12,270.63","2,324.21","2,023.15","1,440.01",742.21,432.18,309.50,354.33,373.43,302.12,630.18,"1,016.58","2,322.73"
