2024년 전체 선택 온실가스 배출량 통계(지역난방(tCO₂)),,,,,,,,,,,,,,
번호,자치구명,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,총합,"634,689.54","123,322.78","93,088.99","78,410.49","33,993.12","26,242.04","22,603.95","23,881.95","23,391.77","19,538.17","24,586.17","54,061.55","111,568.55"
2,강남구,"109,874.55","22,915.90","17,313.50","14,552.23","5,956.46","4,138.77","2,938.69","2,766.14","2,449.17","2,196.03","4,047.69","10,203.57","20,396.41"
3,강동구,"28,779.33","5,370.99","4,384.35","3,721.90","1,772.22","1,337.20",941.79,836.67,684.64,682.61,"1,261.24","2,520.67","5,265.04"
4,강북구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,강서구,"79,669.60","13,662.49","10,225.10","8,513.29","3,637.98","3,135.92","3,937.34","5,444.90","6,239.84","4,534.50","2,769.86","5,550.81","12,017.57"
6,관악구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,광진구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8,구로구,"6,543.99","1,342.22","1,017.06",813.55,350.93,274.43,229.57,219.77,201.38,175.57,234.77,510.41,"1,174.32"
9,금천구,793.26,176.71,129.02,107.00,43.62,26.94,18.40,15.28,11.58,11.66,26.35,71.28,155.42
10,노원구,"56,336.69","11,861.44","8,778.68","7,495.21","3,256.61","2,225.05","1,498.24","1,209.84",871.33,948.54,"2,204.69","5,210.45","10,776.61"
11,도봉구,"9,066.97","1,931.58","1,430.10","1,217.96",515.10,331.97,229.44,187.13,137.03,146.52,345.16,838.52,"1,756.47"
12,동대문구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13,동작구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,마포구,"51,969.48","6,479.12","4,995.31","4,519.79","3,243.60","3,642.88","3,953.03","4,282.76","4,561.19","3,649.49","3,226.79","3,639.73","5,775.78"
15,서대문구,"9,239.29","1,866.23","1,459.48","1,232.30",549.88,396.87,268.41,225.34,170.52,175.95,369.04,812.61,"1,712.66"
16,서초구,"47,804.60","9,726.52","7,449.12","6,262.56","2,492.89","1,728.68","1,165.20","1,100.46",922.19,899.81,"1,899.86","4,600.49","9,556.83"
17,성동구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,성북구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,송파구,"108,249.06","21,352.83","15,819.68","13,233.76","5,652.64","4,470.22","4,279.57","4,619.33","4,620.39","3,732.69","3,695.84","8,546.25","18,225.86"
20,양천구,"62,400.75","12,910.62","9,653.06","8,124.13","3,392.90","2,391.61","1,673.35","1,646.13","1,424.72","1,311.84","2,329.59","5,631.77","11,911.02"
21,영등포구,"20,373.93","4,844.94","3,621.99","2,821.07",719.54,456.65,314.35,283.65,193.20,217.89,503.53,"1,890.29","4,506.83"
22,용산구,"14,678.35","3,169.34","2,379.27","2,014.24",757.47,510.71,318.69,271.21,198.14,213.28,526.19,"1,407.10","2,912.72"
23,은평구,"17,781.79","3,620.44","2,734.82","2,335.51","1,014.76",742.58,516.98,443.90,371.64,352.02,709.37,"1,618.50","3,321.26"
24,종로구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
25,중구,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,중랑구,"11,127.88","2,091.40","1,698.46","1,446.02",636.51,431.55,320.89,329.44,334.82,289.77,436.19,"1,009.09","2,103.74"
