2021년 전체 선택 온실가스 배출량 통계(가스(tCO₂)),,,,,,,,,,,,,,
번호,자치구명,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,총합,"8,799,534.29","1,646,651.10","1,420,431.15","1,024,673.63","675,103.16","464,113.57","367,668.72","306,894.47","331,805.13","279,896.37","391,778.24","708,616.92","1,181,901.85"
2,강남구,"623,675.20","107,953.13","122,985.94","82,613.51","47,032.24","30,250.16","23,883.71","25,734.71","30,597.66","28,895.04","24,378.95","35,038.51","64,311.64"
3,강동구,"444,174.82","68,169.07","62,161.63","53,582.74","38,792.53","29,828.63","25,470.93","21,217.83","20,813.08","21,161.60","21,032.34","33,748.58","48,195.87"
4,강북구,"269,699.70","51,503.49","44,208.43","35,026.72","24,230.04","15,907.66","11,322.06","8,518.87","7,044.14","7,517.64","9,861.04","20,264.80","34,294.81"
5,강서구,"419,496.09","80,944.23","62,575.60","41,364.76","28,999.74","20,605.22","15,996.24","14,916.89","13,215.33","13,771.33","20,361.86","40,391.76","66,353.11"
6,관악구,"407,674.69","80,958.42","65,082.82","43,418.55","29,484.52","19,456.31","13,163.87","10,347.04","9,214.46","10,064.71","19,113.48","42,172.03","65,198.48"
7,광진구,"325,012.89","64,850.26","54,968.65","41,107.73","25,735.90","18,211.66","13,369.96","5,357.56","12,729.69","4,657.98","15,476.37","25,150.39","43,396.74"
8,구로구,"328,481.50","66,211.70","55,628.92","39,038.28","25,629.65","17,558.29","12,386.76","10,326.17","8,987.38","8,884.19","11,641.46","26,285.95","45,902.75"
9,금천구,"212,329.50","40,017.85","33,057.89","24,500.74","16,838.42","11,929.23","8,927.73","7,452.21","6,846.29","6,790.12","8,908.34","17,735.69","29,324.99"
10,노원구,"442,917.45","81,059.27","84,712.68","62,854.43","44,697.84","25,273.45","18,557.83","12,294.99","11,072.92","10,972.43","11,750.17","26,034.83","53,636.61"
11,도봉구,"282,058.24","48,629.77","44,636.69","33,672.22","25,145.43","17,407.88","13,422.99","11,215.75","10,170.35","10,107.62","12,163.47","21,334.27","34,151.80"
12,동대문구,"273,069.58","56,024.32","46,650.85","34,257.99","21,643.02","14,696.51","10,483.95","4,699.24","10,091.83","3,887.24","12,406.80","20,779.26","37,448.56"
13,동작구,"319,708.41","64,730.36","50,808.33","33,505.28","22,328.22","14,411.03","10,458.25","9,082.50","7,684.26","8,228.21","14,636.47","32,500.66","51,334.85"
14,마포구,"422,780.07","72,100.93","56,515.75","41,360.34","30,274.18","23,861.62","20,920.40","20,608.94","19,217.72","18,342.75","24,383.44","38,627.71","56,566.28"
15,서대문구,"270,502.25","54,102.58","42,240.88","28,321.95","18,386.23","12,476.11","9,897.82","8,418.51","8,815.01","7,901.38","12,234.38","25,973.92","41,733.48"
16,서초구,"426,159.67","72,713.79","69,507.73","48,989.38","33,302.36","22,067.44","17,978.46","18,892.06","20,642.50","19,698.59","19,463.93","31,727.42","51,176.01"
17,성동구,"264,120.45","50,605.45","43,159.65","32,235.94","20,823.96","14,609.84","11,416.39","6,864.83","11,830.13","5,789.98","12,011.77","20,782.84","33,989.68"
18,성북구,"360,099.23","71,168.26","61,392.67","47,369.28","30,401.32","20,290.25","15,039.13","8,559.39","12,338.96","6,770.04","14,188.39","25,982.71","46,598.83"
19,송파구,"496,664.14","85,590.35","82,720.24","68,459.83","41,770.43","26,290.74","21,758.38","20,480.28","21,078.96","20,587.62","19,103.54","32,792.75","56,031.01"
20,양천구,"359,056.23","77,849.36","56,876.71","36,200.80","20,796.48","14,426.96","11,833.79","12,116.03","10,028.55","9,312.83","19,205.16","31,501.85","58,907.72"
21,영등포구,"361,081.24","70,360.79","54,313.88","36,025.06","23,827.83","17,156.52","14,631.75","14,538.46","12,714.46","11,647.40","16,526.58","33,998.12","55,340.41"
22,용산구,"253,556.03","50,101.49","40,019.00","28,203.22","17,996.30","12,739.69","10,459.85","8,220.63","10,061.51","6,673.46","11,776.35","21,311.30","35,993.23"
23,은평구,"355,096.09","68,873.68","54,592.32","36,603.55","25,681.01","17,729.50","12,408.37","10,353.69","9,284.12","10,004.10","17,768.74","36,458.77","55,338.23"
24,종로구,"270,977.70","50,627.54","40,423.42","29,131.95","17,835.76","13,391.87","12,852.26","11,932.10","14,031.53","8,882.24","12,533.97","21,915.63","37,419.45"
25,중구,"285,962.82","51,764.59","40,257.54","27,440.94","16,714.07","13,704.48","15,690.23","16,872.80","18,517.50","12,422.87","13,280.03","20,768.26","38,529.50"
26,중랑구,"325,180.29","59,740.44","50,932.90","39,388.44","26,735.67","19,832.51","15,337.60","7,872.99","14,776.79","6,925.01","17,571.21","25,338.92","40,727.82"
