2025년 전체 선택 온실가스 배출량 통계(전기(tCO₂)),,,,,,,,,,,,,,
번호,자치구명,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
1,총합,"21,019,761.77","1,904,033.22","1,880,621.58","1,643,658.57","1,547,520.02","1,468,863.36","1,614,601.20","2,017,946.89","2,274,960.70","2,074,294.34","1,551,106.80","1,424,397.34","1,617,757.75"
2,강남구,"2,109,780.30","195,533.94","190,649.50","165,011.28","150,553.47","141,766.04","164,222.37","207,420.15","221,429.53","200,557.64","149,489.95","148,325.24","174,821.19"
3,강동구,"739,560.41","66,436.28","65,269.03","56,647.24","54,182.45","51,441.51","57,150.08","71,879.62","82,595.41","75,004.20","55,566.45","48,842.87","54,545.27"
4,강북구,"382,511.72","35,488.60","35,651.06","30,072.06","28,329.86","25,888.39","27,961.26","34,804.24","42,179.03","38,535.39","27,854.59","26,332.23","29,415.00"
5,강서구,"1,162,931.23","104,530.61","101,033.97","89,642.59","84,679.94","80,301.33","88,322.76","110,483.19","125,323.95","115,918.21","87,499.00","82,437.06","92,758.61"
6,관악구,"774,224.70","69,264.49","69,268.16","59,663.82","57,457.94","53,044.31","58,369.29","72,358.62","85,443.68","79,258.97","58,521.48","53,258.89","58,315.06"
7,광진구,"607,325.65","53,218.71","53,219.87","45,888.77","43,483.46","40,799.21","47,073.91","59,721.40","69,577.37","62,484.54","44,721.57","41,125.03","46,011.82"
8,구로구,"830,940.04","78,625.29","78,199.94","66,494.43","62,860.58","60,199.41","65,064.84","79,631.24","89,971.01","80,780.27","59,601.92","51,062.75","58,448.34"
9,금천구,"752,549.44","70,195.56","69,598.50","60,518.49","57,158.51","55,951.40","55,917.33","69,884.20","76,220.55","69,123.52","54,595.11","52,859.14","60,527.11"
10,노원구,"635,412.70","58,109.32","57,268.99","49,071.53","45,989.01","42,643.55","48,105.33","59,869.17","69,312.73","62,131.28","46,160.97","45,290.32","51,460.51"
11,도봉구,"400,235.30","36,809.84","36,651.58","31,307.51","29,920.86","27,337.82","29,302.63","37,138.13","43,835.75","39,002.91","28,688.15","28,310.47","31,929.63"
12,동대문구,"603,662.30","55,946.02","55,266.99","47,884.75","44,414.84","40,869.34","44,218.52","55,877.77","65,329.69","61,009.00","44,356.71","41,561.09","46,927.59"
13,동작구,"564,677.11","50,141.75","49,570.65","42,699.61","41,080.81","38,688.35","43,455.12","53,984.53","62,929.44","57,928.82","42,519.74","38,655.03","43,023.26"
14,마포구,"1,048,715.69","92,582.04","90,904.79","80,467.09","75,440.38","73,442.69","81,962.56","101,528.36","112,952.09","102,797.09","78,836.12","73,887.12","83,915.36"
15,서대문구,"586,672.60","52,332.37","51,058.31","44,890.93","42,290.72","40,676.32","45,621.27","57,544.55","64,135.57","57,331.61","42,956.17","40,865.49","46,969.27"
16,서초구,"1,376,456.97","125,664.98","123,622.00","107,784.33","100,692.54","94,564.56","107,515.53","135,432.68","151,009.45","139,506.84","104,255.77","87,077.76","99,330.54"
17,성동구,"863,081.12","82,339.89","87,522.10","77,795.19","74,507.45","70,340.26","64,310.46","78,511.89","89,967.66","79,606.31","62,509.17","44,584.22","51,086.52"
18,성북구,"666,952.35","60,097.24","59,782.02","51,729.53","49,179.30","45,507.58","49,873.46","60,969.63","72,509.27","67,162.48","49,470.10","47,576.83","53,094.92"
19,송파구,"1,323,934.60","117,923.01","115,634.40","101,994.99","93,939.94","90,691.77","102,006.40","127,687.23","146,002.56","132,740.46","98,497.76","91,689.25","105,126.83"
20,양천구,"760,690.19","66,139.22","64,704.10","60,103.19","57,172.71","53,988.99","57,371.66","69,574.60","82,244.87","76,455.14","60,367.22","54,686.29","57,882.22"
21,영등포구,"1,195,311.14","105,660.73","103,092.77","92,935.00","88,042.83","86,173.65","95,371.88","121,035.46","131,445.40","118,973.29","88,961.33","76,343.21","87,275.59"
22,용산구,"680,763.77","59,344.59","58,633.60","51,119.39","49,345.50","47,475.86","53,520.43","65,662.94","73,458.10","67,683.51","51,736.14","48,662.83","54,120.90"
23,은평구,"673,105.13","58,713.95","59,001.56","50,971.87","49,286.86","45,845.22","49,907.40","62,890.17","74,580.73","67,991.17","51,100.26","49,206.32","53,609.61"
24,종로구,"757,047.98","69,818.22","68,461.54","59,351.49","55,253.62","52,865.50","59,972.22","74,876.37","80,282.25","73,934.43","54,647.61","49,129.59","58,455.14"
25,중구,"1,016,500.31","92,694.43","90,402.67","79,950.49","74,899.18","74,021.69","80,950.31","102,035.42","106,233.75","97,145.48","71,281.03","67,397.24","79,488.62"
26,중랑구,"506,719.02","46,422.16","46,153.51","39,662.99","37,357.25","34,338.61","37,054.16","47,145.33","55,990.84","51,231.80","36,912.45","35,231.09","39,218.83"
